2020-08-26 10:24:12,269 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@110e0cde: startup date [Wed Aug 26 10:24:12 CST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2020-08-26 10:24:12,816 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/xf/test/apache-activemq-5.16.0/bin/linux-x86-64/../../data/kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2020-08-26 10:24:12,893 | INFO  | PListStore:[/home/xf/test/apache-activemq-5.16.0/bin/linux-x86-64/../../data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2020-08-26 10:24:13,059 | INFO  | Apache ActiveMQ 5.16.0 (localhost, ID:dev-38555-1598408652915-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2020-08-26 10:24:13,073 | INFO  | Listening for connections at: tcp://dev:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2020-08-26 10:24:13,074 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2020-08-26 10:24:13,077 | INFO  | Listening for connections at: amqp://dev:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2020-08-26 10:24:13,079 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2020-08-26 10:24:13,085 | INFO  | Listening for connections at: stomp://dev:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2020-08-26 10:24:13,087 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2020-08-26 10:24:13,089 | INFO  | Listening for connections at: mqtt://dev:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2020-08-26 10:24:13,092 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2020-08-26 10:24:13,095 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2020-08-26 10:24:13,142 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
